Type,SKU,Name,Published,Visibility in catalog,Short description,Description,Regular price,Categories,Images,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
external,AR0028426,Custom Replica GBBR MCX SPEAR XM7 APFG,1,visible,,"DESCRIPTION
THIS CUSTOM GBBR MCX SPEAR XM7 APFG REPLICA FEATURES
Internal :
Crazy Jet 6.04 370mm Maple Leaf precision barrel
External:
Replica GBBR MCX SPEAR XM7 APFG
Silencer 14 mm CCW KAC QDC / MCQ-PRT Short 117 mm 5KU Black
RapidStrike 1-10x24 Firefield scope
FAST LPVO UT WADSN mounting rings
Case LA-5C UHP AN/PEQ 15 Black Lamp WADSN
Handstop type Arisaka M-LOK Black Airsoft Artisan
Case 103x33x15 Waterproof Black NUPROL
You will benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.
Please note that damage caused by the use of poor-quality beads other than those recommended on our product data sheets will not be covered by warranty.",1399.90,Repliques,"https://www.ops-store.com/upload/image/custom-replica-gbbr-mcx-spear-xm7-apfg-p-image-214106-grande.jpg, https://www.ops-store.com/upload/image/custom-replica-gbbr-mcx-spear-xm7-apfg-p-image-214107-grande.jpg",https://www.ops-store.com/en/1-custom-replica-gbbr-mcx-spear-xm7-apfg-a30090.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 mm | Propulsion: Gas | Gas location: Charger | Shooting mode: Safe / Semi / Auto | Energy: 1.3 Joules | Speed: 370 FPS | Minimum Length: 815 mm | Maximum Length: 875 mm | Weight: 3220 g | Internal barrel length: 300 mm | No screws: 14 mm CCW | Integrated tactical rail: M-LOK / Picatinny | Charger: 1 x 22-ball gas magazine | How it works: Adjustable Hop Up,1,0
external,AR0028720,Replica Custom GBBR VFC AR15 MCX SURG APFG,1,visible,,"DESCRIPTION
YOU WILL FIND IN THIS CUSTOM REPLICA GBBR VFC AR15 MCX SURG APFG
Replica Colt M16A2 V3 VFC GBBR
APFG MCX SURG GBB Airsoft Kit
ARO Dot Sight HOLOSUN
LoPro Mini green laser pointer / 300 lumen lamp SIGHTMARK
Short M-Lock FMA vertical tactical grip
Pistol Grip EPG-C M4 GBBR PTS
Lightweight carrying case 100 cm Black GLARY CASE
We draw your attention to the fact that damage caused by the use of poor-quality bullets other than those recommended on our product sheets will not be covered by warranty.
You will benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.",1699.90,Repliques,"https://www.ops-store.com/upload/image/replica-custom-gbbr-vfc-ar15-mcx-surg-apfg-canon-left-p-image-212000-grande.jpg, https://www.ops-store.com/upload/image/replica-custom-gbbr-vfc-ar15-mcx-surg-apfg-canon-droite-p-image-212001-grande.jpg",https://www.ops-store.com/en/replica-custom-gbbr-vfc-ar15-mcx-surg-apfg-a30246.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6mm | Propulsion: Gas | Gas location: Magazine | Shooting mode: Safe / Semi / Auto | Minimum Length: 690 mm | Maximum Length: 910 mm | Weight: 3510 g | Charger: 30 bbs | How it works: Adjustable Hop Up | Blowback: Yes | Body: Metal | Colors: FDE / Bronze / Black | Test Bench: Power: 1.5 Joules | bbs / Gas used: 0.30 g / 150 PSI | Recommended grammage: 0.30 g,1,0
external,AR0028804,AS-VAL Storm Custom HPA Replica OPS FACTORY,1,visible,,"DESCRIPTION
THIS CUSTOM HPA AS-VAL STORM REPLICA FEATURES
Internal :
Hop Up 60° Macaron Maple Leaf gasket
HP-R STORM GEAR BOX V3 SYSTEM
11.1v 1200mAh Dean Gens Ace double stick LiPo battery
Low-cap 40 BBs King Arms Court charger for VSS Series Airsoft AEG
External :
Replica AEG AS VAL KING ARMS
JS-TACTICAL DOUBLE STANDARD 20mm RAIL QD BLACK
Lightweight carrying case 100 cm Black GLARY CASE
We draw your attention to the fact that damage caused by the use of poor quality balls other than those recommended on our product sheets will not be covered by our warranty.
You will benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.",849.90,Pieces internes,"https://www.ops-store.com/upload/image/as-val-storm-custom-hpa-replica-ops-factory-p-image-212062-grande.jpg, https://www.ops-store.com/upload/image/as-val-storm-custom-hpa-replica-ops-factory-p-image-212063-grande.jpg, https://www.ops-store.com/upload/image/as-val-storm-custom-hpa-replica-ops-factory-p-image-212061-grande.jpg",https://www.ops-store.com/en/as-val-storm-custom-hpa-replica-a30286.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 mm | Propulsion: ETA | Shooting mode: Safe / Semi / Auto | Integrated tactical rail: Yes | Charger: 3 x 40 bbs | How it works: Adjustable Hop Up | Body: Metal | Colors: Black | Test Bench: Power: 1 Joule | Beads / PSI used: 0.30 g / 90 PSI | Recommended grammage: 0.30 g | Battery slot: Hand guard | Connections: T-Dean | Wiring: Before | Gearbox Version: Gearbox V3,1,0
external,AR0029684,Tokyo Marui Custom Hi-Capa 5.1 CTM Rainbow Replica OPS-FACTORY,1,visible,,"DESCRIPTION
IN THIS TOKYO MARUI OPS-FACTORY CUSTOM HI-CAPA 5.1 CTM RAINBOW REPLICA, YOU'LL FIND
Internal features:
Hi-Capa 5.1 Power Barrel inner barrel, 6.00 x 112.5 mm Nine Ball
60° Decepticons 2023 Maple Leaf Hop-Up Gas Ring
IP1 Silver Disconnector for Tokyo Marui Hi-Capa COWCOW
Disconnector spring for Tokyo Marui Hi-Capa GBB COWCOW
Power Regulator Hammer Kit for Tokyo Marui COWCOW Hi-Capa GBB
Metal Sear for Hi-Capa / 1911 GBB Tokyo Marui COWCOW
IP2 Silver Firing Pin Lock for Tokyo Marui Hi-Capa COWCOW
150% Reinforced Recoil / Hammer Spring for Hi-Capa 5.1 Guarder
Exterior:
Tokyo Marui Hi-Capa 5.1 Black Gas
Superline CTM Split Slide for Hi-Capa 5.1, Rainbow Finish
RM1 Black Guide Rod for Tokyo Marui COWCOW Hi-Capa GBB
Black CNC Magazine Extension for Marui CTM Hi-Capa
Large Flared CNC Magwell for Black Hi-Capa
CNC Ambidextrous Slide Catch for Hi-Capa
CNC Quick-Swap Magnetic Trigger for Hi-Capa
28-bbs Gas Magazine
Black Nuprol foam case, 31 x 25 x 8 cm
You’ll receive a 24-month OPS-store warranty on all parts. This warranty does not cover any openings or modifications made by a third party outside of OPS-store.
Please note that damage caused by the use of low-quality BBs other than those we recommend on our product pages will not be covered under warranty.",699.90,Pieces internes,"https://www.ops-store.com/upload/image/custom-hi-capa-5-1-ctm-rainbow-tokyo-marui-ops-factory-left-handed-replica-p-image-213842-grande.jpg, https://www.ops-store.com/upload/image/custom-hi-capa-5-1-ctm-rainbow-tokyo-marui-ops-factory-right-hand-replica-p-image-213841-grande.jpg",https://www.ops-store.com/en/tokyo-marui-custom-hi-capa-5-1-ctm-rainbow-replica-ops-factory-a30708.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,"Caliber: 6 mm | Propulsion: Gas | Gas location: Magazine | Shooting mode: Safe / Semi-automatic | Weight: 1,000 g | Internal barrel length: 112.5 mm | Integrated tactical rail: Yes | Charger: 28 bbs | How it works: Adjustable hop-up | Blowback: Yes | Body: Polymer | Colors: Black / Rainbow | Recommended grammage: 0.28 g | Energy (0.20g BBs): 0.83 joules",1,0
external,AR0028672,Replica Custom GBBR PDW PCC Daniel Defense,1,visible,,"DESCRIPTION
THIS CUSTOM GBBR PDW PCC DANIEL DEFENSE REPLICA FEATURES
Internal :
Crazy Jet 6.04 220mm Maple Leaf precision barrel
Joint Hop Up 50° Silicone MR GBB / VSR-10 Maple Leaf
Tensioner Hop Up silicone 50° Omega (Solid Edition) Maple Leaf
M4T One CNC hop-up chamber for MWS GBBR Marui Maxx Model
Set Recoil Spring Renforcé and Buffer Spacer V2 for MWS GBBR Marui SP System
External :
Replica GBBR PCC SBR EMG Daniel Defense Double Eagle
2MOA True Point CORE Specna Arms red dot sight
ET housing OGL Black Strobe lamp WADSN
Hydra GG Black Picatinny Micro T1/T2 WADSN mount
Switch holder Pocket Panel CNC Picatinny Black WADSN
Handstop type EMI M-LOK Double Bell Black
Strike Industries-licensed PDW stock for M4 MWS GBBR Tokyo Marui 5KU replicas
Hard case 820x295x85mm
Please note that any damage caused by the use of low-quality balls other than those recommended on our product sheets will not be covered by warranty.
You will benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.",999.90,Pieces internes,"https://www.ops-store.com/upload/image/replica-custom-gbbr-pdw-pcc-daniel-defense-black-left-hand-canon-p-image-211917-grande.jpg, https://www.ops-store.com/upload/image/replica-custom-gbbr-pdw-pcc-daniel-defense-black-straight-barrel-p-image-211916-grande.jpg",https://www.ops-store.com/en/replica-custom-gbbr-pdw-pcc-daniel-defense-a30217.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 mm | Propulsion: Gas | Gas location: Magazine | Shooting mode: Safe / Semi / Auto | Minimum Length: 580 mm | Maximum Length: 650 mm | Weight: 2940 g | Internal barrel length: 220mm | Charger: 40 bbs | How it works: Adjustable Hop Up | Body: Full metal | Colors: Black | Test Bench: Speed: 370 FPS | BBs / Gases used: 0.20 g / 150 PSI | Recommended grammage: 0.28 g - 0.30 g,1,0
external,AR0023987,Hi-Capa 5.1 Black Replica Tokyo Marui Speed Cerakote Custom,1,visible,,"DESCRIPTION
This Hi-Capa 5.1 Black Tokyo Marui Speed Cerakote Custom replica features:
Internal :
Precision power barrel Hi-capa 5.1 6.00 x 112.5mm Nine Ball
AUTOBOT Maple Leaf 60° Silicone Hop Up Joint
Guide Rod RM1 Black for Hi-capa GBB Tokyo Marui COWCOW
Metal Sear for Hi-Capa / 1911 GBB Tokyo Marui COWCOW
Hammer Power Regulator Kit for Hi-Capa GBB Tokyo Marui COWCOW
Disconnector IP1 Silver for Hi-Capa Tokyo Marui COWCOW
Disconnector Spring for Hi-Capa GBB Tokyo Marui COWCOW
Firing Pin Lock IP2 Silver for Hi-Capa Tokyo Marui COWCOW
Recoil Spring RS1 Silver for Hi-Capa GBB Tokyo Marui COWCOW
Set Nozzle Spring 180% for Hi-Capa GBB TM CTM
External :
Hi-Capa 5.1 Black Tokyo Marui Gaz
Red dot sight Sharp RMR CORE Specna Arms
Tracer Unit Blaster C Red ACETECH
Custom Omega Blue Hi-capa Nine Ball trigger
HPA M4 AEG charger adapter for CTM Hi-Capa replicas Black / Grey
CTM tactical split Superline breech for TM Hi-capa 5.1 ATELIER
CERAKOTE paint
Moulded carrying case for Umarex Grey handgun replica
We draw your attention to the fact that damage caused by the use of poor quality balls other than those recommended on our product sheets will not be covered by warranty.

You will benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.",949.90,Pieces internes,"https://www.ops-store.com/upload/image/replica-hi-capa-51-black-red-tokyo-marui-speed-cerakote-custom-left-hand-canon-p-image-211602-grande.jpg, https://www.ops-store.com/upload/image/replica-hi-capa-51-black-red-tokyo-marui-speed-cerakote-custom-canon-droite-p-image-211601-grande.jpg",https://www.ops-store.com/en/hi-capa-51-black-replica-tokyo-marui-speed-cerakote-custom-a26931.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 millimetres | Propulsion: Gaz | Gas location: magazine | Shooting mode: Safe / Semi-automatic | Weight: 850 g | Internal barrel length: 95 mm | Integrated tactical rail: Yes | Charger: 28 beads | How it works: Adjustable hop-up | Blowback: Yes | Body: polymer | Colors: Black | Recommended grammage: 0.28 g | Energy (0.20g BBs): 0.83 j,1,0
external,AR0027645,Tokyo Marui FAB DEF Custom AKM GBBR Replica,1,visible,,"DESCRIPTION
YOU WILL FIND THE FOLLOWING IN THIS TOKYO MARUI FAB DEF CUSTOM AKM GBBR REPLICA
Internally:
Maple Leaf Crazy Jet 6.04 370 mm precision inner barrel
Maple Leaf 50° Silicone MR GBB / VSR-10 Hop-Up bucking
Angry Gun 130% recoil spring for Tokyo Marui AKM / AKX GBBR
HEPHAESTUS Hard Kick Bolt kit for Tokyo Marui AKM GBBR
Wii Tech gas tube for Tokyo Marui AKM GBBR
Hephaestus NPAS valve for Tokyo Marui AK GBBR
Externally:
Tokyo Marui AKM (ZET System) GBBR replica upgraded by OPS-store
Specna Arms CORE Strike QD red-green dot sight
ELEMENT DBAL-e MkII light/laser module
SPORT4+B33 kit for TM AKM GBB
5KU black PK-3 pistol grip for AK GBBR replica
Wii Tech CNC aluminum magwell for Marui AKM GBBR
5KU M4 buffer tube adapter & Picatinny stock base for Tokyo Marui AKM GBBR
5KU metal 5-position Picatinny stock tube
Double Bell black GL CORE stock, FAB DEF style, for M4 AEG
Hard case 1175 x 290 x 120 mm
You benefit from a 24-month OPS-store warranty covering all parts. It does not apply in the event of any opening or modification carried out by a third party outside OPS-store.
Please note that damage caused by the use of poor-quality BBs other than those we recommend in our product sheets will not be covered under warranty.",1429.90,Pieces internes,"https://www.ops-store.com/upload/image/tokyo-marui-fab-def-custom-akm-gbbr-replica-p-image-210406-grande.jpg, https://www.ops-store.com/upload/image/tokyo-marui-fab-def-custom-akm-gbbr-replica-p-image-210407-grande.jpg",https://www.ops-store.com/en/tokyo-marui-fab-def-custom-akm-gbbr-replica-a29623.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 mm | Propulsion: Gas | Gas location: Magazine | Shooting mode: Safe / Semi / Auto | Minimum Length: 865 mm | Maximum Length: 950 mm | Weight: 4520 g | Internal barrel length: 370 mm | Charger: 35 bbs | How it works: Adjustable Hop Up | Blowback: Yes | Body: Full metal | Colors: Black | Test Bench: 1.1 Joules ; 291 FPS | BBs 0.28 g ; Gas 150 PSI,1,0
external,AR0026579,Replica AK74U Arcturus PicoAAB GATE Ragnarok Custom,1,visible,,"DESCRIPTION
IN THIS AK74U ARCTURUS PICOAAB GATE RAGNAROK CUSTOM REPLICA YOU'LL FIND
Internal :
6.03mm x 247mm MADBULL precision barrel
AK RGW Hop-Up V3 CNC chamber
Maple Leaf Macaron 60° Hop-Up joint
Gear set 16:1 High Speed SHS
Mosfet PicoAAB GATE
Cable Low Resistance 60cm GATE
Hi-torque Long SHS motor
External :
AK74U Custom full metal replica Arcturus AEG
Type T1 Compact II Reflex Sight Theta Optics
Side-mount B13 AK optics for SAIGA-12K TM Black 5KU
AN / PEQ 15 Battery Case Specna Arms
AK CNC type B trigger Black Retro Arms
Carrying case 87 cm Black GLARY CASE
You'll benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.
Please note that damage caused by the use of poor-quality balls other than those recommended on our product sheets will not be covered by warranty.",699.90,Pieces internes,"https://www.ops-store.com/upload/image/ak74u-arcturus-picoaab-gate-ragnarok-custom-replica--p-image-207046-grande.jpg, https://www.ops-store.com/upload/image/ak74u-arcturus-picoaab-gate-ragnarok-custom-replica--p-image-207047-grande.jpg",https://www.ops-store.com/en/replica-ak74u-arcturus-picoaab-gate-ragnarok.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 mm | Propulsion: AEG (7.4v battery stick) | Shooting mode: Safe / Semi / Auto | Energy: 1.2 Joules / 0.28 g | Weight: 3080 g | Internal barrel length: 247 mm | Integrated tactical rail: M-LOK / Picatinny | Charger: Real-Cap 30 bbs / Mid-cap 130 bbs and Hi-cap 500 bbs | How it works: Adjustable Hop-up | Blowback: No | Body: Full metal | Colors: Black | Battery slot: Top Cover | Connections: T-Dean,1,0
external,AR0024307,Replica T11 Short Black Full Upgrade PDI by OPS-store,1,visible,,"DESCRIPTION
The Taiwanese firm Action Army Company (AAC), renowned for the quality of its internal parts for the airsoft world, is offering a new Sniper based on the VSR10. The Tactical 11 is fully compatible with all the internal parts of the Tokyo Marui Sniper.
The replica comes with a 50-round capacity magazine and a dummy magazine marked 7.62 x 51 mm. The dummy magazine includes a set of adjustment keys supplied as standard.
The stock can be removed by means of a screw under the pistol grip, allowing you to use the replica in a shortened version. The ergonomic Pistol Grip provides an ideal grip. On the top, there's a 135 mm Picatinny rail for adding a scope. On the sides and bottom, there are proprietary rails for screwing on additional rails (not supplied).
The OPS-store offers you a T11 with a completely revamped and assembled internals, giving you a fully reliable airsoft replica with top-flight performance.

You will find quality parts in-house:
- Trigger block & 90° piston hook set for VSR-10 Tokyo Marui PDI
- Complete VC cylinder set for VSR10 PDI
- Precision barrel 6.01 mm 303 mm VSR-10 / G-spec PDI
- Hop Up Gasket 70° Silicone AUTOBOT 2023 Maple Leaf
- TDC CNC hop-up chamber set for type VSR-10 TTI Airsoft
- VSR 450 Spring for VSR-10 PDI
- 98cm Gun Bag V1 Black Specna Arms
You will benefit from a 24-month OPS-store warranty on all parts. It will not take into account any opening or modification made by a third party outside OPS-store.",749.90,Pieces internes,"https://www.ops-store.com/upload/image/replica-t11-short-black-full-upgrade-pdi-by-ops-store-p-image-201124-grande.jpg, https://www.ops-store.com/upload/image/replica-t11-short-black-full-upgrade-pdi-by-ops-store-p-image-201123-grande.jpg",https://www.ops-store.com/en/replica-t11-short-black-full-upgrade-pdi-by-ops-store-a27221.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 millimeters | Propulsion: Spring | Shooting mode: Single shot with manual reset | Internal barrel length: 303 mm | Integrated tactical rail: Yes | Charger: 50 bbs | How it works: Adjustable hop-up | Body: metal / polymer | Colors: Black | Recommended grammage: 0.40 g | Energy (0.20g BBs): 1.7 j | Speed (0.20g BBs): 430 FPS | Canon internal model: PDI precision barrel | Internal barrel diameter: 6.01 mm,1,0
external,AR0027660,Tokyo Marui SCAR H Replica with Full Brushless Upgrade,1,visible,,"DESCRIPTION
THIS REPLICA SCAR H TOKYO MARUI BRUSHLESS FULL UPGRADE FEATURES
Internal :
MOTOR W Lite plus 28K SOLINK Long Axle
Bushings 5.9 mm Steel
Normal-torque Hard Gear set for Next Gen Recoil Shock Prometheus
TITAN V2 NGRS Expert GATE front wiring module
POM piston head Next Gen SCAR Prometheus
14-tooth piston SCAR Recoil Shock Next Gen Marui FPS Softair
Spring SP110 GUARDER
Spring guide on bearings SCAR L/H Marui Next Gen WIITECH
Nozzle M4 Next Generation Tokyo Marui with O-Ring FPS Softair
Cylinder head for M4 / 416 Next Gen Tokyo Marui FPS Softair
Joint Hop Up 60° Macaron Maple Leaf
Precision barrel AEG 6.05mm x 303mm Lambda Five
Tensioner Hop Up silicone 50° Omega
External :
Replica SCAR-H Next Gen Tokyo Marui AEG
You'll benefit from a 24-month OPS-store warranty on all parts. It does not cover any opening or modification made by a third party outside OPS-store.
Please note that damage caused by the use of poor-quality balls other than those recommended on our product sheets will not be covered by the warranty.
This replica can only be played with 7.4V Lipo batteries. We recommend good quality balls and DEAN batteries.
For any modification or customization request for this assembly (power, addition / modification of part), please contact us by phone / email.",1199.90,Pieces internes,"https://www.ops-store.com/upload/image/tokyo-marui-scar-h-brushless-full-upgrade-replica-black-barrel-left-p-image-209684-grande.jpg, https://www.ops-store.com/upload/image/tokyo-marui-scar-h-brushless-full-upgrade-replica-black-barrel-right-p-image-209683-grande.jpg, https://www.ops-store.com/upload/image/tokyo-marui-scar-h-brushless-full-upgrade-replica-fde-barrel-left-p-image-209682-grande.jpg, https://www.ops-store.com/upload/image/tokyo-marui-scar-h-brushless-full-upgrade-replica-fde-barrel-right-p-image-209681-grande.jpg",https://www.ops-store.com/en/tokyo-marui-scar-h-replica-with-full-brushless-upgrade-a29631.html,Voir sur OPS-Store,Marque,OPS-Factory,1,1,Caracteristiques,Caliber: 6 mm | Propulsion: AEG | Shooting mode: Safe / Semi | Weight: 3500 g | Internal barrel length: 303 mm | Integrated tactical rail: Yes | Charger: Mid-cap 90 bbs | How it works: Adjustable hop-up | Blowback: Yes (Recoil Shock) | Body: Aluminium / polymer | Recommended grammage: 0.30g | Battery slot: Stock | Connections: T-Dean | Wiring: Rear,1,0
